project,distribution,loc,scale
benhager_benhager.github.io,norm,1510460831.219641,7229705.862803258
guardian_frontend,gamma,3.301641558326425,1324476727.6057582
crowbar_ci-tracking,cauchy,1371865213.97256,4057728.203227501
rastaman_argouml-maven,norm,1143524496.2648199,90975248.305607
reactos_reactos,gamma,8.517748888079453,751118271.875825
rabbitmq_rabbitmq-server,powerlaw,2.0576787729246258,1085827262.2419426
octopusinvitro_gitbanner,uniform,1393778106.0,603763200.0
nturaga_bioc_manifest,cauchy,1379379267.2427268,91318551.22542831
opentimestamps_nist-inject,uniform,1546853875.0,67543333.0
s7ephen_PrivacyChanges_Public,rayleigh,1441071965.6256468,469998.1451377831
gitlab.com_quicla_device/google/cuttlefish,powerlaw,2.1741091450421797,1494440283.2413645
cakephp_cakephp,cauchy,1335683317.7539723,62420490.4592887
tumblenet_TumbleSMP,powerlaw,1.4181237357669927,1531752657.6185875
dockercore_data,uniform,1608804863.0,894552.0
keum_cso_digitalocean,uniform,1459452373.0,121671828.0
wikimedia_mediawiki-extensions-Flow,gamma,1.9352674950263489,1372676103.540197
jthub_ega-file-transfer-to-collab-2-jtracker,exponpow,0.9524536745505536,1498834407.9999995
babburra_CS-125,expon,0.0,2718741.3920531925
wikimedia_mediawiki,norm,1372916331.5111072,134629925.3125113
glpi-project_glpi,cauchy,1310636066.7620084,78182395.7848507
bitcoin_bitcoin,cauchy,1523844803.7411313,40758238.44851946
enkidevs_commit,norm,1475396648.9046817,3476145.301326224
ethereum_go-ethereum,cauchy,1548314565.60187,33875910.10348558
pequet_alts-retracements,uniform,1516478177.0,71628549.0
getsentry_sentry,powerlaw,3.2746344181252693,1205603922.855752
alowell_cosi_monitor,powerlaw,1.0514240704355284,1404596512.9571657
tmtmtmtm_belgium-lachambre,powerlaw,2.834723832736981,1441039135.1933293
Aman1531_redesigned-broccoli,powerlaw,1.0366515773747627,915167951.5842052
Homebrew_homebrew-cask,norm,1495507031.3763494,73973257.85862063
AOEpeople_asdis,norm,1315399045.0285792,55596069.404483125
wordpress-mobile_WordPress-iOS,norm,1472573909.9395967,76683435.40898226
nodejs_node,cauchy,1506349781.9216993,42810127.66383727
cakephp_docs,cauchy,1547422141.8069081,11415241.215480063
everypolitician_everypolitician-data,norm,1509115400.7596443,31419407.13798098
TheBinitGhimire_WHOIScommits,powerlaw,1.300598105853969,1600200794.8741384
ssbattousai_Cuda36,gamma,1.4744735988446935,1490069269.632247
gitlab.com_quicla_platform/vendor/qcom-opensource/system/bt,powerlaw,5.240477447738197,1103012808.913632
learn-co-students_py-lists-with-maps-data-science-intro-000,gamma,3509.5545979216618,947162265.3523091
joomla_joomla-cms,powerlaw,1.8545074790873914,1097994802.5188742
laravel_framework,norm,1484634141.0983918,70942940.97399838
alexcb_dumb,cauchy,1557686539.4508114,398.67163376769327
moodle_moodle,norm,1332835970.565471,142501819.65012455
wmst_wmidbot,gamma,2.2278143165627293,1393820731.3949385
systemd_systemd,norm,1462565957.4607775,112998261.42688935
nosillnoboat_blocklist-ipsets,powerlaw,1.0171311000100096,1457641387.063861
everypolitician-scrapers_kenya-mzalendo,cauchy,1486482855.7227712,3847828.215777034
arvidn_libtorrent,gamma,21.60780927111486,795269975.3774576
Killoso_autocommit,powerlaw,1.1646629123388914,1568095021.750187
OCA_sale-workflow,powerlaw,4.277463290367482,1155714462.23662
jasperan_github-utils,norm,1544753203.3817809,38125.66620315077
foren197316_blocklist-ipsets,powerlaw,1.8935105389546871,1437082697.9753666
GitClock_GitClock,powerlaw,0.9580141548812953,1555095055.9734268
apache_maven,gamma,2.8183690185298937,1062228888.303736
mlz-ictrl_nicos,cauchy,1507261845.3691847,29098487.20294088
devopscripts_jenkins,powerlaw,0.904897460897079,1525748404.9999995
Koha-Community_Koha,powerlaw,2.3202617639242256,963134055.5391803
FirebirdSQL_firebird,gamma,2.5548520200339624,987951778.2736095
dev-segal_dev-segal.github.io,rayleigh,1605571701.4708574,697678.4163862828
daedroza_aosp_development_sony8960_n,norm,1472387536.0400655,91968215.5677098
babyshen_gcr.io,powerlaw,0.6741736236465394,1547018438.9999998
mad-science_25445,uniform,1461698275.0,854.0
jakch79_test-src,gamma,19606.823103559393,-19749893434.070587
repo.or.cz_kdepim,norm,1213242454.0291705,128985260.68318446
mono_monodevelop,powerlaw,1.2068525303909334,1127483930.7740269
pcdavid_org.eclipse.sirius,gamma,2.8999033944270183,1372374794.8685315
gitlab.com_aosp_test2_platform/prebuilts/androidx/internal,rayleigh,1556896643.5663602,6862755.640734765
git-portage_git-portage,rayleigh,996969882.3182522,169493507.14087296
eyim_indy-e3b,lognorm,1.1457139622920947,1459587291.7984238
thomasNDS_lbl,uniform,1516351898.0,90349487.0
randallho_laughing-barnacle,uniform,1535277377.0,718.0
adalenv_gitfiti_test,norm,1516101435.609498,979434.9208868217
git.kernel.org_pub_scm/public-inbox/vger.kernel.org/linux-wireless/0,uniform,1170189584.0,413765384.0
luisbtejada_test1,powerlaw,1.0115772970202173,1588847154.9198675
git.kernel.org_pub_scm/public-inbox/lists.ozlabs.org/linuxppc-dev/0,powerlaw,3.616618265955821,340620692.41179097
bitrig_bitrig,powerlaw,1.1905198610741792,813903910.2299263
IThinkImOKAY_IThinkImOKAY,lognorm,0.7554766285520879,1601868397.4668603
marcomep_subversion,powerlaw,1.3379223872826935,951831098.4145054
jenkinsci_git-client-plugin,gamma,17.49486513961834,1320261015.8373923
repo.or.cz_mono,norm,1145998183.1527112,70917512.17943683
strigazi_athena,powerlaw,1.4187428913975777,1407342863.233224
jdzs1_b,gamma,1.2594361359852009,1542292338.2761168
bert_pcb,cauchy,1302424684.8111846,26659053.325928032
Zimbra_zm-mailbox,powerlaw,1.040218111445673,1124223307.4104338
hasura-imad_imad-2016-app,rayleigh,1472950783.1704032,3915733.4491313617
cunzhen99_free99,cauchy,1507789191.5586498,1379190.6073322985
preda-bogdan_test_gitfity,powerlaw,0.9222854788327564,1529830799.9999995
processing_processing,norm,1277569739.5490665,129673704.68887834
git.kernel.org_pub_scm/public-inbox/kvack.org/linux-mm/0,norm,1379747176.850386,153574411.63499317
roytam1_mozilla-cvs-history,gamma,1.8124387231800556,887289850.296015
jacob-carlborg_llvm-svn,powerlaw,1.4547117559182503,991188097.8852296
git.savannah.gnu.org_git_emacs/elpa,norm,1209820244.1817427,218530749.69333914
twbs_bootstrap,gamma,364.79161737973186,-439218880.1630101
hhc97_commits2,uniform,1593712896.0,53911.0
Jackeagle_kernel_msm-3.18,norm,1457232282.1479578,113786572.51949994
openhab_openhab-addons,powerlaw,1.9592808912577349,1266630050.1419487
firehol_blocklist-ipsets,cauchy,1448212459.681375,1082533.5792856733
OriginProtocol_origin,cauchy,1521320907.8412268,40117189.49271332
kubernetes_kubernetes,gamma,6.020489621054338,1373416132.7135556
liancastellon_jd-trunk,gamma,1036.36099465726,-1710851272.594852
i17c_ecode,gamma,1.6634601826278164,1443178484.1490564
gitlab.com_jtojnar_clubpenguinwiki,cauchy,1281357960.15494,25967317.74444508
